id,hotel_cluster
402,46 64 82 85 62
403,41 48 91 70 83
404,65 52 66 87 26
405,46 12 62 57 82
406,64 5 2 58 22
407,91 48 41 42 70
408,64 5 82 46 29
409,65 52 66 87 26
410,91 48 41 95 18
411,96 46 62 97 63
412,91 48 41 42 83
413,91 48 41 42 70
414,91 48 18 42 1
415,91 48 41 42 70
416,64 46 2 82 25
417,46 64 82 62 61
418,91 48 41 95 18
419,62 63 36 57 85
420,12 61 57 62 46
421,91 48 42 41 18
422,65 62 30 64 66
423,64 5 25 2 58
424,91 28 48 72 18
425,62 82 5 30 36
426,91 48 41 42 70
427,62 5 30 82 78
428,91 48 41 28 42
429,65 66 52 87 31
430,64 46 26 63 96
431,91 48 41 95 18
432,65 52 66 87 26
433,62 63 36 85 61
434,64 5 82 29 58
435,46 64 82 85 62
436,1 45 41 98 56
437,91 48 42 41 47
438,91 48 41 71 72
439,91 48 42 18 41
440,91 48 41 95 18
441,70 91 98 48 42
442,91 48 41 42 70
443,91 48 41 42 98
444,0 41 26 96 91
445,82 30 11 25 64
446,62 30 63 85 96
447,91 48 18 42 39
448,91 41 48 18 83
449,5 59 25 46 82
450,1 45 88 79 0
451,90 91 59 2 9
452,91 48 41 1 42
453,1 98 48 56 41
454,91 48 41 42 98
455,91 48 41 42 83
456,91 48 95 4 41
457,46 36 62 63 61
458,91 48 41 42 70
459,91 48 41 42 70
460,65 62 26 30 64
461,91 48 41 42 70
462,65 62 30 46 64
463,46 62 64 63 78
464,5 78 25 30 59
465,91 48 41 72 42
466,91 48 28 42 18
467,64 5 82 2 29
468,65 52 66 87 26
469,91 48 42 28 18
470,91 55 48 41 95
471,91 41 48 55 33
472,91 48 28 18 41
473,65 52 87 66 26
474,91 48 41 42 72
475,62 36 85 63 61
476,46 62 63 61 36
477,62 82 61 46 85
478,5 78 25 62 22
479,1 48 91 41 45
480,91 48 42 41 47
481,91 48 42 41 18
482,91 83 48 41 47
483,62 61 63 36 85
484,91 48 41 56 70
485,91 48 41 42 70
486,62 46 64 63 78
487,30 5 82 78 62
488,91 48 41 42 28
489,36 46 64 62 30
490,65 66 52 87 31
491,91 48 41 18 42
492,1 41 56 0 70
493,91 48 42 41 18
494,46 82 64 62 36
495,91 48 41 42 83
496,41 1 0 56 98
497,91 48 18 41 42
498,91 48 41 42 18
499,48 91 95 50 4
500,5 25 78 82 64
501,91 48 41 18 42
502,46 12 62 57 82
503,91 48 42 41 18
504,65 66 52 87 26
505,5 59 30 25 82
506,91 48 42 41 47
507,91 48 41 42 70
508,91 48 41 95 18
509,1 91 48 41 95
510,65 52 66 87 26
511,64 58 46 82 20
512,91 41 48 98 56
513,65 52 30 87 66
514,91 48 41 42 70
515,1 45 41 56 70
516,46 64 82 85 62
517,90 9 91 73 95
518,58 57 62 31 30
519,91 48 41 42 70
520,91 48 41 42 72
521,20 58 82 78 30
522,91 48 41 83 42
523,64 5 22 25 2
524,91 48 41 42 70
525,91 48 41 42 70
526,65 52 66 87 26
527,46 96 63 62 97
528,63 64 46 62 36
529,91 48 41 1 0
530,64 46 2 82 25
531,91 48 42 18 41
532,1 45 79 98 56
533,41 91 56 1 98
534,91 48 41 83 42
535,91 48 42 95 16
536,91 48 41 42 70
537,46 64 62 36 97
538,64 5 82 29 58
539,5 25 78 22 64
540,65 52 66 87 26
541,91 48 18 28 47
542,56 1 70 98 41
543,64 82 25 58 29
544,91 28 48 42 18
545,91 48 42 41 28
546,91 41 48 70 56
547,91 48 41 42 70
548,91 48 41 42 18
549,65 52 66 87 26
550,1 48 41 91 45
551,65 62 66 26 87
552,66 65 52 87 26
553,91 48 41 1 55
554,5 78 25 8 22
555,64 5 25 58 2
556,64 25 5 58 2
557,1 79 98 41 56
558,65 52 64 66 26
559,91 41 48 50 68
560,65 62 30 64 66
561,5 46 64 82 62
562,91 48 41 42 70
563,91 48 41 42 18
564,1 45 56 41 70
565,5 25 78 82 64
566,1 55 41 91 95
567,91 48 42 41 18
568,91 48 41 42 18
569,91 48 41 42 72
570,91 41 48 18 33
571,82 30 62 59 46
572,91 48 41 42 70
573,91 48 41 42 70
574,65 66 52 87 26
575,91 48 41 42 70
576,91 48 41 42 70
577,92 98 59 90 9
578,91 48 42 41 47
579,1 41 45 98 56
580,65 62 64 30 66
581,1 41 56 70 45
582,65 64 52 66 46
583,64 5 25 2 82
584,46 5 82 64 29
585,91 48 41 95 4
586,91 48 18 42 16
587,82 64 25 5 78
588,64 5 82 46 29
589,64 25 5 22 2
590,91 48 41 28 4
591,63 46 36 64 61
592,64 82 2 5 29
593,1 41 56 70 45
594,91 48 41 42 70
595,91 48 41 42 70
596,64 5 25 2 58
597,91 48 41 42 28
598,64 46 82 36 81
599,91 48 41 42 70
600,91 48 41 42 18
601,91 41 48 70 98
602,64 25 82 2 29
603,82 64 46 62 36
604,62 36 63 61 81
605,1 45 56 98 41
606,91 48 41 42 18
607,91 48 18 41 42
608,91 55 48 41 95
609,91 48 41 55 70
610,91 48 41 42 98
611,64 5 25 2 82
612,91 41 48 70 50
613,91 48 42 41 18
614,91 48 41 1 18
615,1 45 98 41 56
616,65 66 64 62 26
617,91 48 42 41 18
618,91 48 41 42 70
619,63 46 64 36 62
620,65 52 66 87 26
621,46 64 62 97 63
622,64 62 63 82 46
623,65 52 66 87 26
624,91 48 72 18 41
625,91 48 41 70 55
626,1 45 41 98 56
627,46 12 57 61 62
628,5 25 78 64 8
629,91 48 41 42 28
630,92 90 9 91 68
631,91 48 42 41 47
632,65 64 87 52 2
633,91 48 41 18 16
634,91 48 41 42 70
635,91 48 41 42 70
636,91 48 41 42 28
637,1 45 98 41 56
638,91 48 41 42 70
639,91 48 42 41 18
640,63 64 46 36 62
641,82 64 46 62 61
642,0 41 26 1 91
643,91 48 41 42 70
644,91 48 41 42 70
645,82 64 46 62 30
646,64 5 25 2 46
647,64 5 58 2 25
648,91 48 41 72 42
649,91 55 48 95 41
650,91 48 41 42 70
651,1 41 45 91 56
652,82 64 25 5 78
653,91 48 41 95 18
654,91 48 41 42 70
655,65 52 87 66 44
656,91 48 41 42 18
657,65 52 66 87 26
658,63 30 62 85 46
659,91 48 41 42 70
660,91 48 42 41 47
661,41 91 48 70 68
662,2 64 5 29 62
663,65 66 52 64 46
664,5 62 82 59 30
665,64 65 25 58 2
666,91 48 42 18 95
667,91 48 41 18 42
668,62 30 5 82 78
669,91 48 41 42 18
670,91 48 41 42 18
671,91 55 48 41 95
672,91 48 41 42 95
673,91 48 41 55 95
674,63 46 36 64 62
675,62 46 63 85 64
676,56 1 70 98 41
677,91 48 28 83 41
678,82 25 43 64 5
679,91 48 41 42 70
680,64 5 2 25 58
681,91 48 42 18 41
682,64 46 62 97 58
683,5 82 30 62 78
684,62 5 82 78 36
685,91 48 18 41 42
686,1 41 48 91 56
687,91 48 41 70 55
688,91 48 41 42 70
689,65 52 66 87 26
690,46 12 62 57 82
691,30 82 62 5 59
692,91 48 42 41 72
693,5 25 78 82 64
694,91 48 41 42 70
695,64 82 5 58 29
696,91 48 41 42 70
697,91 48 41 18 42
698,62 57 85 63 61
699,62 46 64 63 78
700,62 12 57 61 85
701,1 41 56 45 98
702,1 45 41 98 56
703,91 48 42 18 41
704,65 64 2 5 25
705,65 52 66 87 64
706,91 48 41 42 18
707,65 66 52 87 26
708,65 52 64 25 87
709,65 52 66 87 26
710,91 48 68 41 55
711,91 48 41 42 70
712,91 98 70 41 48
713,91 48 41 42 70
714,63 62 64 26 46
715,64 5 82 46 29
716,1 45 41 98 56
717,91 48 42 18 41
718,91 48 18 41 42
719,91 48 41 1 4
720,91 48 41 98 1
721,64 22 5 25 29
722,91 48 42 41 18
723,46 36 63 62 64
724,65 52 66 87 26
725,91 48 42 41 72
726,63 46 64 62 36
727,91 48 41 42 98
728,46 64 62 97 63
729,65 52 66 87 26
730,46 62 64 63 85
731,41 91 48 83 56
732,30 62 82 5 81
733,5 78 58 25 62
734,64 5 82 29 46
735,62 82 30 61 85
736,64 46 62 97 82
737,64 5 2 58 25
738,91 48 42 18 41
739,91 48 41 42 70
740,91 48 41 42 70
741,91 48 72 18 28
742,91 48 42 18 41
743,91 48 41 42 70
744,91 48 41 42 70
745,91 48 41 42 70
746,64 5 46 2 25
747,1 45 41 56 70
748,12 46 82 61 62
749,1 45 41 56 79
750,5 78 25 22 8
751,46 64 82 85 62
752,36 62 63 85 61
753,64 5 2 25 58
754,91 48 41 56 70
755,46 36 63 62 64
756,1 45 41 98 56
757,91 48 41 95 1
758,91 48 42 18 41
759,41 91 48 83 56
760,46 36 62 63 61
761,65 52 66 87 26
762,91 48 41 42 70
763,5 25 64 82 22
764,62 12 57 61 85
765,82 62 30 85 59
766,65 52 66 64 62
767,65 64 52 58 25
768,91 48 41 18 42
769,91 48 41 42 18
770,91 48 42 41 47
771,82 58 5 25 30
772,25 5 64 8 82
773,64 5 82 58 25
774,64 5 25 2 58
775,91 48 41 42 98
776,91 48 41 42 28
777,91 48 42 41 47
778,91 48 71 42 41
779,91 48 41 70 55
780,46 64 62 36 97
781,64 5 22 25 2
782,64 5 25 2 58
783,5 25 64 82 58
784,91 48 42 41 47
785,1 48 41 91 45
786,64 46 63 58 97
787,91 48 41 95 18
788,64 5 25 2 58
789,91 48 41 42 70
790,65 26 87 96 66
791,64 5 25 2 46
792,46 64 62 36 97
793,46 64 82 85 62
794,91 48 41 42 70
795,1 45 41 70 91
796,25 78 5 8 30
797,46 64 82 85 62
798,91 48 42 41 47
799,5 25 82 64 58
800,91 48 41 70 56
801,41 48 91 83 10
802,65 52 66 87 26
803,63 64 46 62 58
804,91 48 41 42 70
805,90 9 59 95 2
806,48 91 41 33 4
807,92 80 9 68 90
808,91 48 41 42 70
809,1 41 91 70 0
810,91 48 41 42 70
811,91 48 42 41 18
812,91 48 41 42 70
813,91 48 41 70 55
814,91 48 42 41 18
815,91 48 41 42 70
816,46 63 62 85 30
817,5 25 78 22 64
818,64 5 46 2 25
819,91 48 42 41 47
820,91 48 41 42 70
821,91 48 42 18 41
822,65 66 52 87 26
823,1 48 41 91 45
824,91 48 41 42 18
825,91 48 41 42 83
826,65 62 66 52 78
827,64 82 5 58 29
828,64 46 2 82 25
829,64 58 5 29 82
830,65 66 52 87 26
831,82 25 64 58 30
832,91 48 41 55 16
833,1 45 56 41 70
834,91 48 41 83 42
835,91 48 41 18 95
836,0 26 41 71 96
837,65 64 2 5 25
838,62 46 63 64 30
839,91 48 72 18 28
840,62 46 85 78 64
841,91 48 41 18 42
842,46 12 36 57 62
843,1 0 26 34 84
844,1 48 41 91 45
845,46 62 63 61 81
846,65 64 2 25 22
847,46 64 82 85 62
848,64 5 29 82 58
849,65 52 66 64 26
850,5 30 62 82 59
851,46 64 62 85 63
852,0 26 41 1 34
853,91 48 41 42 70
854,91 48 41 72 42
855,65 52 66 87 26
856,65 64 22 25 52
857,65 62 66 46 64
858,5 25 78 59 64
859,64 5 25 2 58
860,91 48 41 70 56
861,46 82 64 62 61
862,65 52 66 87 26
863,91 48 41 42 83
864,91 48 41 42 18
865,91 48 41 72 42
866,91 48 41 18 42
867,1 68 98 56 45
868,25 5 58 82 30
869,65 64 25 52 2
870,64 25 5 58 2
871,46 64 97 58 62
872,1 45 21 88 79
873,64 5 22 58 46
874,91 48 41 42 28
875,64 82 46 5 58
876,91 48 41 42 70
877,91 48 41 4 16
878,1 45 41 56 70
879,91 48 41 42 70
880,91 41 48 70 98
881,91 41 48 83 33
882,46 64 62 36 97
883,91 41 48 83 33
884,91 48 41 42 18
885,41 48 91 83 33
886,1 70 56 45 98
887,30 62 5 82 78
888,91 48 18 16 95
889,65 62 64 30 66
890,91 48 42 41 71
891,91 48 41 42 98
892,41 48 91 98 56
893,62 46 63 64 30
894,70 91 4 48 41
895,64 5 2 25 46
896,91 48 41 42 70
897,92 80 9 90 98
898,1 41 48 95 4
899,91 48 41 18 42
900,1 41 45 98 91
901,91 41 48 83 56
902,91 48 41 42 83
903,64 46 26 63 96
904,82 46 62 61 30
905,1 41 0 91 70
906,46 64 82 85 62
907,91 48 42 18 16
908,64 26 46 63 96
909,65 52 66 87 26
910,91 48 41 42 70
911,65 52 64 66 26
912,1 48 91 41 56
913,25 5 82 22 78
914,5 30 64 62 46
915,59 68 2 9 95
916,65 62 66 26 64
917,91 48 41 42 18
918,65 52 66 64 62
919,63 46 36 62 64
920,46 82 62 36 57
921,91 48 41 42 28
922,65 52 66 64 62
923,64 25 5 58 2
924,91 48 55 95 16
925,65 52 66 87 26
926,91 48 41 42 98
927,64 46 82 5 29
928,91 48 42 41 47
929,64 5 82 46 29
930,65 87 52 66 26
931,91 48 42 18 41
932,46 82 62 36 61
933,64 29 82 5 58
934,91 48 41 95 18
935,64 25 2 82 46
936,91 48 41 83 42
937,65 52 66 87 44
938,91 48 41 18 42
939,65 64 52 66 46
940,46 63 57 85 62
941,91 48 41 42 70
942,91 48 41 95 18
943,91 48 41 42 18
944,62 30 5 82 78
945,46 64 63 82 58
946,1 45 41 98 56
947,91 48 41 42 83
948,65 52 64 66 46
949,91 48 42 41 47
950,91 48 41 42 18
951,30 82 62 5 78
952,91 48 41 42 70
953,91 48 41 42 70
954,91 48 41 83 42
955,1 45 98 41 56
956,91 48 42 41 47
957,5 82 30 78 25
958,63 64 96 26 46
959,91 48 42 41 18
960,64 5 58 2 25
961,64 82 29 25 46
962,63 46 36 64 61
963,65 66 52 26 87
964,91 48 41 42 70
965,41 48 91 70 83
966,91 48 42 41 47
967,64 5 22 25 2
968,91 41 0 48 18
969,1 91 41 98 48
970,1 45 41 56 70
971,91 48 41 42 70
972,91 48 42 41 18
973,41 48 91 83 33
974,91 48 41 42 70
975,46 64 82 85 62
976,82 30 62 59 46
977,64 82 46 25 2
978,1 41 91 70 45
979,46 36 62 63 61
980,91 48 42 18 72
981,91 48 41 42 28
982,91 48 41 42 70
983,1 45 41 98 56
984,91 48 42 41 47
985,63 62 81 36 82
986,5 78 25 22 8
987,91 48 41 42 70
988,91 48 18 41 42
989,1 45 41 56 70
990,1 41 48 91 70
991,65 66 52 87 26
992,64 82 46 5 29
993,91 48 18 72 28
994,64 46 26 63 92
995,91 48 41 42 72
996,46 64 62 36 97
997,65 52 66 87 26
998,91 48 41 1 98
999,65 64 52 66 46
1000,91 48 41 42 70
1001,91 48 41 70 55
1002,91 48 41 42 28
1003,65 52 66 87 64
1004,91 48 41 42 95
1005,5 25 78 82 64
1006,91 48 41 42 18
1007,64 5 82 46 29
1008,5 25 22 78 8
1009,91 21 48 1 41
1010,62 82 66 85 30
1011,91 55 48 41 95
1012,65 52 66 87 26
1013,91 48 41 42 98
1014,91 48 41 42 83
1015,91 48 41 1 42
1016,46 36 62 63 61
1017,62 36 81 63 57
1018,91 48 41 42 70
1019,1 45 98 41 56
1020,65 52 66 87 26
1021,62 46 78 85 97
1022,91 48 41 42 70
1023,91 48 41 95 18
1024,91 48 1 41 98
1025,63 46 64 61 62
1026,91 48 42 41 18
1027,64 62 63 81 46
1028,12 46 57 61 62
1029,91 48 41 83 72
1030,48 91 41 33 83
1031,91 48 41 42 70
1032,82 46 62 59 85
1033,91 48 41 42 70
1034,91 48 41 71 50
1035,36 46 82 62 64
1036,65 52 66 87 26
1037,91 83 48 41 77
1038,91 48 41 70 95
1039,91 48 41 42 18
1040,47 83 91 48 18
1041,91 48 41 95 18
1042,64 82 46 62 65
1043,1 45 41 56 70
1044,25 5 22 82 64
1045,63 64 46 36 62
1046,64 5 25 2 58
1047,16 73 91 10 48
1048,91 48 18 41 42
1049,91 48 18 28 72
1050,65 52 66 87 26
1051,46 64 82 25 2
1052,1 45 70 56 41
1053,91 48 41 42 18
1054,1 45 41 56 70
1055,63 62 36 61 57
1056,65 52 66 87 26
1057,64 25 82 2 58
1058,62 5 82 30 58
1059,46 62 82 57 12
1060,91 48 41 95 18
1061,82 64 25 5 58
1062,1 45 56 95 41
1063,5 25 64 59 78
1064,91 48 18 41 42
1065,1 41 98 45 56
1066,90 59 95 2 9
1067,46 64 62 5 82
1068,65 52 87 66 26
1069,64 46 61 62 57
1070,64 5 25 58 2
1071,91 48 42 18 41
1072,5 30 82 78 62
1073,91 48 41 42 83
1074,82 25 64 43 78
1075,91 48 41 42 18
1076,63 61 46 64 36
1077,62 63 57 36 85
1078,64 29 82 2 5
1079,64 2 25 5 29
1080,91 48 41 18 42
1081,91 48 41 42 72
1082,46 36 62 63 61
1083,91 48 42 41 47
1084,41 48 91 83 33
1085,46 61 64 57 63
1086,91 41 48 50 70
1087,46 12 62 57 61
1088,91 48 41 42 70
1089,1 45 98 41 56
1090,91 48 41 42 70
1091,65 52 64 46 66
1092,63 46 64 62 61
1093,64 5 25 58 2
1094,91 48 41 42 18
1095,91 48 41 1 98
1096,64 46 82 58 20
1097,91 48 41 42 28
1098,5 78 25 8 30
1099,65 66 52 26 87
1100,65 62 26 64 30
1101,91 48 41 42 70
1102,65 52 66 87 26
1103,91 48 41 18 95
1104,65 66 64 46 26
1105,62 36 63 81 57
1106,46 64 62 96 63
1107,64 82 25 5 58
1108,64 5 2 58 25
1109,82 64 5 25 30
1110,91 48 41 42 18
1111,65 52 87 66 26
1112,65 52 66 87 26
1113,91 48 42 18 72
1114,91 48 28 42 18
1115,46 64 62 97 63
1116,91 48 42 41 18
1117,65 64 2 5 25
1118,65 52 66 64 62
1119,91 48 28 42 18
1120,46 64 82 85 62
1121,64 25 5 22 2
1122,5 30 82 62 78
1123,91 48 41 42 70
1124,91 48 41 95 18
1125,91 48 42 18 41
1126,64 5 82 29 2
1127,65 52 66 87 64
1128,91 48 41 42 70
1129,91 48 42 41 47
1130,65 62 30 64 78
1131,91 48 41 42 70
1132,91 48 41 42 70
1133,1 91 41 95 55
1134,46 64 2 25 82
1135,91 48 41 42 98
1136,64 82 46 25 2
1137,64 25 58 5 2
1138,1 0 26 41 98
1139,46 63 64 62 85
1140,91 48 41 42 70
1141,46 64 82 25 2
1142,65 52 66 87 26
1143,1 45 41 98 56
1144,1 45 41 98 56
1145,65 52 66 0 26
1146,91 48 41 42 70
1147,91 48 41 42 18
1148,64 25 82 58 2
1149,20 58 82 64 78
1150,82 64 25 5 58
1151,91 48 41 42 1
