row_id,place_id
144,5331816451 8163130224 6619811780
145,4212244629 3025279118 9999932225
146,4890512129 3485139686 9999932225
147,3909004782 6856060628 9999932225
148,3410682579 9640649846 4551671315
149,7089775153 5235321810 7292216231
150,6130803605 9083779885 9999932225
151,2776382793 7829434616 9999932225
152,8336299754 8875852907 3982758040
153,2458412314 1409961906 7745539535
154,4785759786 7646893863 5739853631
155,7696722574 9999932225 3981701796
156,7811627212 9039902064 9979095554
157,3318787272 9999932225 3980224941
158,8216356070 2687059674 9999932225
159,5516698469 8335063427 3277548782
160,6935618980 9911250705 6506862032
161,7874622075 8766000611 3980027722
162,4133038911 8824487897 2710259887
163,9612934140 4193376983 9799142188
164,5894102975 3497024810 8246010453
165,4059662524 4744374835 3981785329
166,3761120083 3068535030 8775322105
167,7828434040 1342794384 3034741411
168,4866352470 7950488014 4232038384
169,8472010664 5716855810 4710754935
170,4855085942 5195433234 4137661448
171,4792770830 3102942133 9999932225
172,8124261643 9985368425 1055224027
173,4161580114 9200468330 4815660699
174,9365365857 8589782603 2277213424
175,9473192709 7252937293 1081887388
176,8225447530 6817123348 6145203687
177,6239363571 3897071108 6941161187
178,2536800896 2836089830 6794528773
179,8280172053 6618753221 1310777240
180,5571399000 5554161390 4659169748
181,9550632536 7611408742 2143041329
182,9480665985 4973956209 3981390700
183,1354543023 2686318728 3981390700
184,7102003628 5294989644 7013193650
185,2716729452 8358082103 8141269076
186,6739136912 8643652595 9999932225
187,2121185208 9999932225 3981701796
188,4830751388 6036749804 7299542245
189,1596275309 9060378811 8792743257
190,1267213173 5735967176 4254617034
191,1059469963 7490867373 5675061649
192,3002174726 8176031740 9999932225
193,8153945506 4789763826 1628499833
194,2844754753 5449558269 7671494531
195,6764930756 7832221442 6544590431
196,2296892174 8912554226 9999932225
197,5807282833 1639111535 9999932225
198,1400922991 3072034122 4722983574
199,9268606986 4573143463 9952455545
200,3057779572 1128280319 2093774675
201,3402377425 3224617861 3125859508
202,7062284985 1039069144 5779143624
203,8326465350 5301290733 7363774279
204,2552866863 1341897062 1009014488
205,6747882777 8227878235 4578281100
206,8965904021 7159645052 6332409447
207,3397284997 5017307893 4759257908
208,8317128318 6582143267 9999932225
209,5342022032 6146180065 5664320917
210,1346964315 2369236536 4055274014
211,3039244154 9999932225 3981785329
212,4104693813 4423447902 1471986539
213,2955144893 7549868810 4194846220
214,5443340403 5831994883 1945966153
215,6522967515 5121861187 5136880909
216,7996062479 5330079717 8071068551
217,3805867491 6577087424 7956889332
218,7289397535 6588638300 2257162489
219,8401571245 3713064206 9999932225
220,2451126504 5532175558 9999932225
221,8202183657 6550852257 9999932225
222,1323389704 6332254783 6176690002
223,4310925224 3150170393 5997636137
224,8107556222 5208812470 6709875823
225,9967940483 7770741253 6532120629
226,6972195488 1895099363 5159986412
227,4947281315 5860399388 6219118052
228,7116618782 1325859831 3981701796
229,6443306778 9879212207 5112918047
230,6847523082 3740940401 9999932225
231,8839872606 3081239052 2199100628
232,6466667382 6780324636 8399426195
233,9140459040 9532691175 5296299107
234,8348606078 9092265993 3981390700
235,3296777308 4696272812 4762960772
236,2448885763 6225068556 1527865130
237,7088555080 5458232301 4105476578
238,6801371043 8706703644 1518021027
239,2100896024 1819701469 7336437364
240,2708488788 6982032663 3013791136
241,2303916615 8118583412 4873312048
242,9867918614 7545953421 6698541907
243,4365251503 5010200452 7106957627
244,2618942090 4192213198 1956952915
245,9482924258 2306283540 5658012204
246,4346242751 9297902994 3981701796
247,3216848146 7483753299 1090267032
248,4777432026 6534790585 8267331801
249,9087199354 3619822557 9630535657
250,5851101680 4691261799 9695647313
251,2668497151 7879160579 3981390700
252,8875845411 2506994060 9999932225
253,7321027492 2006163691 1305516177
254,5018910832 5005606496 1839845827
255,5066121775 7411811405 2547599396
256,8195393586 6455336467 6270850842
257,9744442555 8364601452 8262670611
258,8866735078 2209368899 9999932225
259,4991279997 4392620016 3846054595
260,5796393846 9309341993 8540992901
261,9673315843 2157838138 6437082746
262,6296973912 1221977559 4952451203
263,9594622491 5157233798 3982736325
264,1385716737 8184771154 1288433883
265,5384092163 2300363615 9999932225
266,9631519438 7319514019 3433184423
267,4362222391 8119514783 2747764700
268,9515368788 4689154487 5406226961
269,4646471620 1813108851 8956412568
270,6092992811 8510753959 6996969439
271,3858327840 3646254015 3980278054
272,1364054041 9999932225 3980224941
273,3891029931 7204232970 3935124511
274,6345982910 2161539154 5738920150
275,3404818185 6187796901 5075538321
276,8395308222 1227771616 8297789984
277,4089212029 8527415754 9241409390
278,4840406479 4191818538 1154057140
279,9860501079 7209151305 9999932225
280,3714886101 8454729012 1945825352
281,1001749677 5003930261 9999932225
282,3841548114 5354549576 4693974209
283,6342956564 1591740968 7582858310
284,3529851616 3392278029 9999932225
285,2080866280 9742209297 5145475447
286,8593217381 7999470154 3525271703
287,1424695760 9288762224 7079733032
288,3135522013 3980090620 3980278054
289,7084395632 7018309026 9999932225
290,5465211353 4422760775 1281332948
291,6317531269 6940299880 9999932225
292,9766488200 2069554463 7205250880
293,7675133327 1946046867 3981350103
294,1131776827 7993688752 3224921648
295,8286909330 4472461011 3710195553
296,6963316565 9106277298 7463878024
297,2214479736 7322017691 9932689980
298,6128585103 7555322582 4021357080
299,3054534752 9999932225 3981390700
300,5572946331 1518021027 3408595547
301,4955059518 7218156776 3923137668
302,6572939836 9622897195 8729889252
303,7296040918 4016309790 1299025140
304,8503074892 4631152139 3981701796
305,2765612592 8122445601 1051553218
306,4652815103 8445134502 3288468553
307,7487322271 9999932225 3980090620
308,5672516497 8398810686 8420506604
309,8876145769 7386519283 2855197353
310,3237280965 3731272198 9999932225
311,1988862111 4244471385 3620115331
312,9828622832 6491314073 9999932225
313,9245987573 9608025661 8377897818
314,9779738722 5967678921 6366875007
315,6319894043 2446742725 8060875954
316,9893047127 2058400129 1658228844
317,4371034975 4036647271 3980224941
318,8830809712 3237838020 6507229117
319,4570578408 9005585499 3980055033
320,2729784785 6643897705 9512544783
321,7809131106 8115929430 7272466660
322,6180506563 2488038400 9999932225
323,6291666280 4000363114 1660614413
324,7519780495 3781554561 5507396378
325,8373284623 6090451045 2657148498
326,2112033277 6396961984 5255693977
327,5508153077 1092389455 4493393502
328,3837923384 4483364308 3399664797
329,6733015674 7967843242 3085300259
330,1412249307 5812198977 2798848234
331,7610025315 1003835757 2815843772
332,7782472711 6530727155 5361138641
333,8823690137 8322722675 3141918003
334,9157239597 1373873367 7343035937
335,2498617567 8538546368 9999932225
336,6010881475 1696986636 4739637108
337,5066549946 8335769936 7354864284
338,2684971081 7179992643 6249601538
339,9776679005 2389634025 2116623894
340,3592141305 3275451139 1269612882
341,4762329641 8588987130 8464527243
342,4626375496 7278590122 9999932225
343,8907778072 9999932225 3981390700
344,7651018278 6891839978 9999932225
345,4422012359 5730456599 5017434810
346,4397525991 1799640262 3455504154
347,2144209755 8430605618 8958796431
348,3293142647 8335769936 3832116524
349,3905539509 2374270073 4220427594
350,7153388208 5245716466 8228416524
351,3938632601 9682502933 8148055061
352,3199981294 7891979273 3373683539
353,2049043795 9198458885 9999932225
354,5223084317 3714672907 7391993834
355,3680769337 1017236154 7251570583
356,2698210631 6433759695 5331351748
357,9778063727 4955250186 8482418135
358,6683800538 5255881971 4703253998
359,7264463137 2534175403 6580333515
360,9211416701 3273542184 4183689534
361,2672516092 2160625170 9999932225
362,3268492577 9975071447 9999932225
363,5525625132 6943060289 3995811104
364,4661431742 4609785926 9999932225
365,6006159344 1126264894 3980055033
366,9864693439 8282030198 3459043356
367,6213832414 5394194556 5042144750
368,2077890854 9923727859 8330293251
369,6253003685 6776458730 9999932225
370,5500882217 3939385411 1036107777
371,1052628400 7160868111 4803498853
372,3865448805 7192901892 9999932225
373,1976017796 9517859480 7671021320
374,8661669791 4278103878 8749828687
375,1624068322 3764062063 3981701796
376,2108190829 4588005533 9578007153
377,6221199593 8727133450 4544587073
378,5035268417 4932578245 3981350103
379,8988686399 8771727990 3372974354
380,8578888385 7616931527 9628068458
381,2644160862 3444460438 6714524418
382,8077759782 3988822818 3481226852
383,8257387651 9334403667 5683037600
384,8650125164 9698951745 4460738946
385,7470407783 5304407441 7967183098
386,7182514977 9348457044 9999932225
387,1437691505 9999932225 3981390700
388,6285268146 5612513629 9999932225
389,1057625698 4383283072 3887341569
390,5909811221 5784490922 8932408303
391,8782239647 6309627835 6322932648
392,4887063165 6417961369 8689648764
393,8015549070 1878605560 8940633852
394,8202029590 5296994283 6813498443
395,4099974217 3700670933 2053129605
396,5484830407 4331314325 6651961773
397,2491364033 8694427749 2349333720
398,8687338386 3009569175 2554003823
399,6163003469 1983730511 2242639142
400,5687182875 8983092289 3981390700
401,7295234444 1925713543 5420163026
402,9518061320 2244595432 9999932225
403,6157420552 7668006178 7831123465
404,4364266576 9144333839 4312265534
405,4232750442 1091451871 9999932225
406,2718787071 5558957490 9999932225
407,1470112968 6733015674 1232661940
408,8413425340 9999932225 3981350103
409,5741150161 2372040070 2772993689
410,1632469501 8270659245 2202002533
411,6244964199 5406684414 9999932225
412,4645417969 4615116556 8641822124
413,9154578813 3752941217 4563746315
414,6391376901 5089989122 7342780196
415,3315437974 4216600177 9216206649
416,3403469836 1974697740 6160666582
417,7247045656 5761042277 9999932225
418,2725400043 8351148649 4854104512
419,5399044537 5581333707 7202914829
420,1369429804 5577713885 9999932225
421,7377787557 1885091807 7025317403
422,3274022507 5967730040 6685245460
423,3987268133 5371895155 3334483734
424,7464117233 1079557773 4453786698
425,1074211726 8300333014 7400618369
426,4575544409 9850134290 3980278054
427,7201759203 6933415170 3837790591
428,6911766771 8184954999 4512435295
429,4735607850 3821779242 3913992046
430,7767783897 1253373762 7277335021
431,4271768621 2401987767 4891271853
432,8244508051 8358209750 1874714997
433,8534701625 7840614366 3925254817
434,4202771938 9928568990 1413493418
435,8430633229 5679346840 7047742947
436,5636540566 5691045822 5072920562
437,8733178095 4544832244 9999932225
438,5920184529 8420338422 7034318504
439,9607720670 5309671041 1293844622
440,7513393482 8030714613 1924826173
441,6173965924 4037459641 3254640650
442,5003921802 8378301865 1478305117
443,9903898537 9999932225 3980055033
444,7258957690 6952204817 9184719672
445,2119107460 6918131576 7868248174
446,9350128499 5240254474 9999932225
447,3103952494 6033926231 9647230758
448,4202795034 4105504240 9999932225
449,9916628218 6699512961 8785331356
450,3240715959 2229075316 5764892964
451,4085856736 6812583061 9999932225
452,2902825412 8606164520 8771758468
453,6131872504 8211731063 7294835427
454,3781806209 1150381943 8317738299
455,9747927323 3697218934 9999932225
456,2527868514 3962574105 8046653696
457,5249223790 3154939058 9424446082
458,8740506380 4623471799 9999932225
459,9983635085 4135650206 4893072479
460,8691327970 3840814828 9999932225
461,6788291331 1312981682 9999932225
462,2324322964 7266425363 2043240509
463,7895544043 6382349999 1412413060
464,6325179937 4054597909 9999932225
465,2553265419 7770741253 1875181695
466,1659245561 2969802717 9559310845
467,1886155864 5230570196 8140531298
468,6180238650 9466102731 6211451299
469,9501521833 2397351473 3473522304
470,3066735997 2255091899 5557580331
471,5569037199 2513546919 1071562091
472,7995458948 7283077700 3243409743
473,6612506938 8080266870 3119938992
474,9962107008 6386525027 1669222163
475,4235770796 2665118717 3762308553
476,2780974569 4368506223 1731347255
477,4113252574 2068404950 1629078414
478,2988944543 9312290217 8333092977
479,7138950393 1786898051 6061474609
480,8724373773 7892727231 9999932225
481,7576628864 9185042067 5849466812
482,1769434955 2060520563 8420338422
483,2266226862 7025931362 8086010047
484,9106137178 4832987171 1206136179
485,2375270650 3261985331 6675051422
486,4117850698 9445718827 3981350103
487,4863131617 5972294453 9999932225
488,2354680572 1157747196 2705085622
489,5997961480 7183176191 3981390700
490,8521229242 5001058997 9999932225
491,6245070149 9558292392 5299341497
492,8282206179 7232796942 8715075512
493,4354572295 5339241278 1579706177
494,4163228040 8684874340 4365568123
495,2286108555 4294714536 8330747761
496,7583467786 4137029396 1687269245
497,1519922450 5556597053 9999932225
498,4064239714 6286800192 8080266870
499,7453065256 4062158718 4035124258
500,7633236073 1012925232 8058022899
501,6430200085 5970055560 6237809622
502,9418078653 8843473858 5476298164
503,7599323189 6375316479 9505977035
504,1410904746 3555535359 5709874977
505,9845317601 9999932225 3980055033
506,9972548964 9703390242 8574168891
507,6378942074 9158817142 3383175738
508,5894102975 3486727636 7142025045
509,8167657244 5810560855 8681354217
510,9812271302 1448019226 3307665460
511,3640358817 4209696946 1811888489
512,7055136020 6275024402 6760208598
513,6940115252 5541564636 9999932225
514,1119448101 2059694572 1883788635
515,2264315214 3166156583 3981785329
516,3840807962 1494065780 9999932225
517,6497670966 7501523944 6617487940
518,7054162524 3672508159 4644951884
519,5523966333 2553976109 2942656982
520,9951310814 5651194349 2023112174
521,8254442437 2008977810 2685734924
522,1830042273 3521181804 9999932225
523,4090883902 3369378187 8495412566
524,5545577054 1306126552 9683506312
525,9418879903 3038579763 7199201513
526,4310925224 1591768842 9854732412
527,1078725823 3762870160 7544106260
528,4589578958 8419574722 5722323489
529,9364029151 4096750334 4788788164
530,6296912437 4874868083 2341683842
531,4438021023 2454973335 1494042320
532,4194814425 3154828236 3867396925
533,4116404478 1502056611 3629847180
534,2485765680 3603337495 4661583228
535,6386611723 6844810859 3451881339
536,8052500749 8979982273 1145396862
537,1138489427 3399481170 9999932225
538,8721190151 9082606535 9074876492
539,2895421460 9275021524 6208808810
540,6255196095 2894780453 3120363426
541,6411181790 5118063156 1456584166
542,1319655045 2125279112 8223790135
543,4294746273 2498610449 2454927717
544,7311518697 4350315657 8679917204
545,6288766603 5599248330 9600169919
546,5148636508 8131719610 4516489301
547,3058138415 4680995661 9999932225
548,1427649289 9823156859 1698913020
549,6013080547 1365980067 5018017485
550,4664868648 9227763296 9999932225
551,1079487621 8303917841 3981701796
552,1510979540 2516481553 8992256047
553,5074337312 4409883244 8644288130
554,1828038595 1393619123 8293747672
555,6799044398 9693551771 9626316733
556,6268338231 9729606230 3981785329
557,1042276197 4719625117 2483759437
558,3923325534 8790658996 3747304602
559,8222938418 3660172866 8903607605
560,7095530701 8027240730 3610560993
561,9999855083 3421904849 2286660692
562,7722893885 8614381325 5591319103
563,1154890316 8480007375 9171419953
564,9740660868 9152057936 7506065423
565,3091853247 3963351467 1812122554
566,3866036195 7860583675 9658729500
567,6696095801 9588211751 8014147013
568,8056548944 9651603313 3656344130
569,5442095481 1204237128 9798593175
570,5171572407 3647857547 4435293578
571,2944106051 3840407743 9782126596
572,7839779570 9534631112 7015362521
573,5222346689 7270760469 2157682632
574,4375197092 9868600129 5459799946
575,8905533299 1693615033 6474015322
576,6400700616 1311777124 9999932225
577,5739574507 4208469596 5988278112
578,3639689514 7473558692 4465534794
579,8042263099 7880344334 5902501630
580,8107564345 3982952284 3980090620
581,4913689238 8555883828 8009315210
582,7491605973 3129015050 9073004844
583,8513198178 4481958426 9117703016
584,9420353517 3929795983 4583409546
585,3760570688 7729199472 9224770962
586,6187242299 4567483938 7456300599
587,3647499174 9734073315 6085991588
588,3244446630 6175960262 5263142867
589,5946389952 2324329727 3780624547
590,3044819882 1565910138 1833326353
591,5095121679 4061890350 2254464094
592,8254509150 5050371892 6754149111
593,7848855812 2797633117 7648638423
594,5496587821 8678758109 2930301276
595,7061322157 8191050213 6339928285
596,2127246597 4229889535 1885289959
597,8946457089 9687007688 4484465935
598,6128770019 2111559054 5345448416
599,6042891736 2435835466 3610559738
600,1189365162 3438358171 4219191441
601,6408607855 2578807977 9812186168
602,5128263211 5083505655 3900275744
603,4049164945 5671072298 7242521291
604,6090576908 7240545482 6436055342
605,5257259999 4829269953 5681921649
606,5085269412 6071114754 1325695434
607,4176896404 9999932225 3980055033
608,7138950393 4527806066 5840155158
609,7161953394 2979273014 7423189288
610,8394301296 5920615703 9952455545
611,3635606581 8745353340 1475964690
612,4721487739 2987968346 7707427847
613,9622897195 6127320058 1160867329
614,3486803036 5962034513 8325919031
615,9458399939 7809835411 5587447554
616,5249223790 9999932225 3981701796
617,3203321925 9999932225 3981701796
618,6803351469 9324498203 3981785329
619,2575245275 5900539686 3972126931
620,2341585522 1584004341 6630304125
621,6968542549 7121578257 8269713089
622,6362925734 7799204806 9999932225
623,7667059245 5259213865 3434144540
624,6263040575 5777091086 3981701796
625,3938632601 8773166163 1838737764
626,1617597914 5820888361 2608529576
627,9747382613 6871407753 9999932225
628,8596944772 3650084366 5429552935
629,4363055682 8455260488 4557612797
630,9308479167 9752817815 8220397630
631,5305710143 6189122327 9999932225
632,8567068408 8943291051 2531081367
633,2828330569 7807751203 4145424482
634,2618625496 5245133218 6396961984
635,1346903875 1978147735 5967739556
636,5026313043 3643896282 8208343231
637,2046413640 9503164846 3170979202
638,3373970459 4476151343 4637106953
639,7876484541 5214433244 5100391908
640,1029263620 7504073154 8551584793
641,4863666999 9194730259 6066025785
642,7119605651 2164082478 4336717042
643,7478504372 3449680010 2730724376
644,4053603520 3519435134 7707107569
645,9030859414 1623394281 4362803575
646,3472593414 1882767188 2549013712
647,7516758468 8728243540 6585477369
648,9854859801 4152664311 7430220733
649,8958908225 3763307810 9999932225
650,6804659032 1514389455 3981701796
651,4977011664 2607844764 9047018422
652,9012755286 4870223727 3998976958
653,7086017170 2006312980 9166705853
654,2027223436 7968425508 3622062850
655,2060644233 8430197256 8127994444
656,8352399066 1140862112 6580134146
657,2329099667 9999932225 3981876209
658,1058025719 5822446179 9999932225
659,9368602279 5883068977 9873041597
660,1964611891 2366346834 7652899304
661,9526824939 2245372757 2047406717
662,6140933530 9721508731 4568094753
663,8751347670 4229520683 2969567705
664,4904900338 8680480414 7189070037
665,7157997471 8651182314 4257333342
666,5301803936 1910165696 5166386581
667,2536465240 7637590130 8661197582
668,6974226075 4904613707 7219603982
669,5779585795 2415633629 5182771675
670,5518471019 5025157208 1564741199
671,2907127241 3775251816 9248292183
672,4202795034 2402337046 1915234522
673,9857638303 8489148974 9999932225
674,7093433354 7467707684 8728648496
675,8194942217 4804033759 8285248290
676,2943971544 7085589031 8945190335
677,6517001028 4666902338 4642612962
678,8809927909 5801882756 6489152467
679,7221062072 8946457089 3980055033
680,3828336720 5025265010 1716324247
681,3065317213 3837586150 5040504457
682,7447768735 1516475372 9999932225
683,6033083714 8546551340 3957831136
684,8194757264 4343625636 9999932225
685,7066188784 6620174618 3817827051
686,4484465935 3686110939 9962881989
687,4609949788 4137296097 2763663520
688,2521852903 7572629967 6466806544
689,5405683787 7841001235 1908081390
690,1623394281 3937106239 9030859414
691,8078459162 8706835264 6595047306
692,8722229150 8580087641 3980224941
693,8566050992 8619051307 6000201446
694,1674145354 1088486917 8049107423
695,2762254973 9490990831 1869761947
696,8710886590 2132727454 8405554031
697,6243726637 8242450582 4754285087
698,4692588361 4347694912 9999932225
699,1913006779 4482964631 7874576010
700,9512850624 1751207062 7204305813
701,3360395397 9999932225 3981390700
702,9843833889 2211315750 9999932225
703,2927251995 8300482971 9839008624
704,9508581408 3734111309 8730760281
705,5616214897 7154209469 7483808224
706,2447209696 4011726414 3169366092
707,1693494084 7363430882 2788689958
708,4135318955 7469520631 9288598328
709,2258928500 9999932225 3981701796
710,7191755403 4563756881 4116223920
711,7038991707 5071204031 6752931064
712,5324159110 9999932225 3980224941
713,2202540523 2538939367 1016826090
714,9469335772 4704176647 2908168203
715,7081447179 2586838155 2623251955
716,2841383164 1963360571 4494352725
717,8240250189 6056605609 9999932225
718,4539448778 6721497797 4683562158
719,3825672698 1544097082 6322865852
720,6625651702 2597240279 6780473309
721,7419491383 2995286569 4653782999
722,4270045060 6623628233 3275867784
723,4895001754 1092384934 9999932225
724,6294224468 1502234438 3981390700
725,9741840236 8336725972 9999932225
726,6800161406 9442227040 2516000638
727,4160745367 2270668469 1902333908
728,8687008669 9999932225 3981701796
729,4521815990 5365640129 9999932225
730,4161704042 9804139759 2992781387
731,4293994660 1576154748 3969477132
732,7043621410 9394716278 9968895073
733,4789763826 6304124380 3487595376
734,3985573402 4596241074 4506586646
735,6949445386 7402240082 7052711419
736,9481934974 4555529622 9239562463
737,1572122584 2850502455 2464333957
738,5917130334 4531360684 3849202634
739,1882767188 3528717236 4077790153
740,7545186129 8981837354 4953400934
741,5017549029 6802256107 9999932225
742,2755759197 1143931270 4536519172
743,9970375384 1723442134 5480119790
744,6981839587 4063850020 9999932225
745,2413196642 4591509364 9999932225
746,8086722103 3414293827 4446100317
747,6229702739 9480677921 8691327970
748,8636419387 3483112487 6682074801
749,5811734095 6456886924 9928841713
750,8997568610 9157230123 3846694201
751,1012868741 3720872054 6144918024
752,3537740825 6487205036 9999932225
753,6389056262 8878794462 6553693681
754,8125628639 8924373338 4517311546
755,7047188296 6892714245 3980090620
756,3263236378 5943985490 9102940219
757,2715889162 7977088499 5801496532
758,8892906722 8056567542 7089243722
759,1147940904 2153659573 1428202551
760,6769974247 3580003530 4038586930
761,9590708672 2501877336 9999932225
762,9075381172 3831042327 5014165135
763,1142850223 8005200662 5873220435
764,4029085977 5845215399 1934164280
765,2143455460 4252054445 9999932225
766,1768228203 9999932225 3981785329
767,6152006375 3986479672 5992305659
768,1910026252 1858801267 5997984285
769,3706109122 2533810684 2234983801
770,6517931445 6722005697 9999932225
771,7929969797 8302340910 8221034749
772,7828574955 2081500829 6934609416
773,2754962742 6221212600 1364961982
774,6436115221 8860060025 5232490819
775,5025585407 3907943232 9999932225
776,1219029199 1828769747 3839771017
777,6832899714 2555658897 9999932225
778,1500341258 3166188869 5392660549
779,1953243575 4079911446 7442004676
780,1020199149 4288772402 3103608277
781,1443688116 7506311559 3414641873
782,4028466169 7083958336 4166595511
783,1321055282 9999932225 3980224941
784,2937356673 3937616908 5158994059
785,2985006903 9542059094 2264952648
786,8176907842 2614130547 6849648711
787,9073092678 9999932225 3981390700
788,1659304277 8201858528 7393516832
789,8301222230 9763218530 2635220772
790,3926374830 9999932225 3981701796
791,2771421212 6538376318 9999932225
792,2637953202 1487778709 1421712694
793,6663325439 2084765599 5488529668
794,6827753468 7174352636 6575877874
795,2270730435 8328425754 4591343648
796,4525197378 9198939993 1183324873
797,5608274771 8974421029 7951105612
798,9735601830 7359033879 8954717755
799,1977370761 4540674601 9999932225
800,2923337668 9405297712 5947945444
801,4882171825 7035411288 3981701796
802,4041204057 2281638791 8392448033
803,9521433689 9999932225 3981390700
804,8552528433 8031428274 4643715301
805,1264878574 1783917022 6756685856
806,1808617571 9750740953 3633506566
807,1275738736 9056831061 3175792482
808,4308083535 4021576289 9999932225
809,4815372898 9536118241 3106141145
810,1199801684 6576990986 9999932225
811,9783205333 2028730173 5588831543
812,5815813156 5217269103 5487743197
813,2562283122 8240698887 9999932225
814,3887146746 2138919460 8370810616
815,7618028126 8021548574 7055400416
816,8495570971 4337879443 9212451564
817,8872951209 3417595377 7902306768
818,8103208220 9311092631 5484196518
819,1502774060 8194942217 8098996731
820,3778061863 2205309059 4151787967
821,6872372645 4216266961 3757214665
